484,380,305,NULL,60',11
485,380,574,556,43',21
486,380,562,556,87',21
487,428,339,342,64',12
488,428,326,342,89',12
489,431,501,514,71',19
490,431,488,480,44',18
491,238,569,576,35',21
492,238,401,NULL,73',15
493,238,549,569,85',21
494,54,204,203,45',8
7,229,514,NULL,02',19
8,229,510,514,62',19
9,229,342,328,84',12
10,229,337,328,80',12
11,229,337,328,67',12
12,229,513,514,06',19
13,139,436,425,19',16
14,139,62,60,81',2
16,383,138,142,80',5
17,279,404,NULL,59',15
18,279,404,NULL,14',15
19,406,79,86,06',3
21,406,211,203,68',8
23,185,142,122,07',5
24,249,462,463,72',17
26,33,29,19,80',1
27,33,22,19,53',1
28,169,246,248,56',9
29,169,234,630,51',9
30,169,238,242,87',9
31,454,556,566,77',21
32,454,275,269,21',10
33,454,254,262,47',10
34,454,269,266,88',10
35,454,275,262,85',10
36,454,576,558,46',21
37,454,269,266,44',10
39,448,86,70,54',3
40,448,86,79,22',3
41,448,566,564,86',21
42,222,89,80,58',3
43,222,89,80,45',3
44,222,238,NULL,37',9
45,222,80,67,08',3
46,360,59,NULL,56',2
47,360,59,41,02',2
48,331,473,476,28',18
50,331,491,480,13',18
51,331,473,488,29',18
52,331,488,NULL,73',18
53,331,479,488,87',18
54,225,152,153,03',6
55,225,165,NULL,37',6
56,95,577,576,52',21
57,95,335,NULL,45',12
58,177,339,NULL,27',12
59,49,270,NULL,44',10
60,49,238,246,07',9
61,49,246,630,87',9
63,460,603,600,81',22
64,460,322,319,70',12
65,460,326,NULL,63',12
66,104,246,238,63',9
68,394,488,480,69',18
70,226,365,366,49',13
71,226,365,368,82',13
72,226,196,190,47',7
74,153,60,62,43',2
75,153,62,NULL,79',2
76,94,529,533,43',20
77,94,239,234,83',9
78,291,603,NULL,61',22
79,311,654,512,71',19
80,311,501,506,27',19
81,311,167,160,62',6
82,390,366,365,32',13
83,84,456,NULL,53',17
84,84,649,462,56',17
85,84,533,NULL,11',20
87,438,366,353,51',13
88,438,362,NULL,38',13
89,438,509,NULL,52',19
90,438,367,NULL,26',13
91,288,428,NULL,38',16
92,288,427,NULL,71',16
93,288,614,119,89',4
94,288,430,427,61',16
95,295,491,NULL,38',18
96,295,488,490,60',18
97,418,342,335,48',12
98,418,339,328,23',12
100,347,300,292,35',11
101,115,296,304,17',11
102,115,395,645,83',15
103,115,646,411,56',15
104,115,297,304,64',11
105,409,368,NULL,86',13
106,409,167,156,81',6
107,409,160,153,54',6
108,409,150,167,61',6
109,409,152,NULL,85',6
110,366,463,453,68',17
111,366,428,430,01',16
112,366,456,452,73',17
113,366,430,428,88',16
114,152,558,NULL,72',21
115,152,574,549,63',21
116,354,462,463,03',17
117,354,598,600,78',22
118,354,604,598,07',22
119,216,432,425,29',16
120,216,436,427,90',16
121,216,576,569,61',21
122,357,167,153,41',6
123,357,111,117,04',4
124,283,160,155,59',6
125,283,167,155,09',6
126,283,139,79,16',3
127,164,490,488,61',18
128,164,514,506,84',19
129,97,614,NULL,40',4
130,65,41,NULL,42',2
131,65,59,46,18',2
132,65,46,NULL,72',2
133,245,431,426,51',16
134,245,427,426,16',16
135,245,222,216,60',8
136,78,167,149,64',6
137,78,432,431,78',16
138,78,436,423,19',16
139,78,167,159,66',6
140,44,19,29,08',1
141,44,23,29,27',1
142,44,514,NULL,33',19
143,355,533,NULL,90',20
144,355,219,216,35',8
145,355,222,NULL,87',8
147,355,206,216,13',8
148,355,521,533,17',20
274,40,11,18,25',1
275,142,263,266,15',10
276,142,256,263,52',10
277,142,272,263,20',10
278,142,379,380,02',14
280,136,212,222,83',8
281,136,152,159,75',6
282,136,212,209,72',8
283,136,167,156,60',6
284,2,428,NULL,86',16
285,2,614,111,84',4
286,421,439,425,25',16
287,421,562,576,84',21
290,421,566,576,70',21
291,148,373,NULL,86',14
292,148,368,355,64',13
293,166,142,NULL,49',5
294,166,305,296,56',11
295,166,142,138,13',5
296,166,304,NULL,66',11
298,449,513,505,19',19
299,3,138,135,09',5
300,3,619,617,51',5
301,3,368,367,63',13
302,345,514,493,35',19
303,64,577,NULL,46',21
304,64,576,556,43',21
305,294,458,447,80',17
306,294,205,212,40',8
307,145,305,295,12',11
308,145,295,296,19',11
309,145,305,291,62',11
311,408,315,328,40',12
312,271,221,205,79',8
313,271,201,NULL,47',8
314,403,408,412,54',15
316,403,408,407,49',15
317,403,645,401,08',15
318,403,462,456,73',17
319,403,462,463,70',17
320,403,462,442,38',17
321,398,26,11,02',1
323,398,23,NULL,87',1
324,263,75,86,71',3
325,263,142,412,89',5
327,263,86,NULL,13',3
328,263,142,618,85',5
329,263,137,NULL,44',5
330,263,138,NULL,48',5
331,4,153,NULL,63',6
332,4,513,154,37',6
333,4,89,86,66',3
334,4,626,160,90',6
335,4,89,NULL,81',3
336,4,79,86,42',3
337,43,377,641,58',14
338,43,295,304,80',11
339,43,295,304,45',11
340,43,294,295,90',11
341,137,305,NULL,74',11
342,457,436,423,44',16
343,457,420,NULL,29',16
344,457,533,524,85',20
345,457,434,423,55',16
346,457,423,434,64',16
347,457,533,NULL,34',20
348,457,533,NULL,67',20
349,382,111,105,73',4
350,382,117,115,61',4
351,382,98,115,89',4
352,382,100,111,52',4
353,194,62,NULL,19',2
354,194,513,506,26',19
355,194,62,37,67',2
356,415,246,247,02',9
357,415,248,247,46',9
358,415,390,376,11',14
360,415,390,641,14',14
361,415,390,386,79',14
362,242,305,295,29',11
363,242,305,304,87',11
364,242,295,304,26',11
365,242,111,70,77',4
366,242,117,111,83',4
368,344,185,195,45',7
369,344,117,111,79',4
370,344,111,NULL,39',4
371,217,513,506,39',19
372,258,513,NULL,54',19
373,258,514,496,88',19
374,31,577,567,16',21
375,31,150,156,80',6
376,31,556,555,88',21
